Unnamed: 0,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,BMI_tags,Label
10962,23,61.81174744671987,1.6317772866550957,M,23.21396118968491,1572.31,1.5,2358.465,8,19
15108,31,72.80353504457298,1.6310261037907277,F,27.367217507467338,1485.488,1.5,2228.232,9,28
6012,15,48.59629960646257,1.599002444455552,M,19.006622347445663,1429.271,1.7,2429.7607,8,19
15276,33,75.02979524254681,1.6322845831294417,F,28.16060648116139,1497.674,1.2,1797.2088,9,25
6949,15,53.74653335980969,1.6168428895842923,M,20.55960731380909,1508.749,1.7,2564.8733,8,20
14055,31,78.52906101069819,1.6319430634025769,F,29.48630810628984,1540.609,1.3,2002.7917,9,26
13781,26,67.58179681001688,1.6331451391172034,M,25.33845725180264,1631.643,1.5,2447.4645,9,29
16723,36,81.0835316664756,1.631178297551375,F,30.47402273943893,1541.502,1.2,1849.8024,9,25
9848,20,57.47158981686131,1.6320587949800818,M,21.57653045817556,1533.39,1.7,2606.763,8,20
5592,12,40.66254894770703,1.5637943993018122,F,16.62781914977103,1254.806,1.3,1631.2478,7,1
15068,30,76.33262659330244,1.6317578221061813,F,28.668092703347693,1524.192,1.2,1829.0304,9,25
7537,16,51.58054312756475,1.605387980178842,M,20.01363139359983,1466.547,1.5,2199.8205,8,18
4706,11,44.19778389290185,1.5137988809844711,F,19.286975745905423,1284.945,1.9,2441.3955,8,19
14105,30,75.39680326404935,1.632605409960659,F,28.28723315538456,1515.352,1.3,1969.9576,9,26
21248,44,90.55344937123664,1.6324930824993054,M,33.97835103570783,1823.629,1.3,2370.7177,9,29
1733,5,15.72703183322589,0.9119685281558528,F,18.909805571363165,937.514,1.9,1781.2766,8,16
21856,44,90.9061936325613,1.631839554287204,M,34.13803835481863,1828.135,1.3,2376.5755,9,29
4563,11,36.65864599920171,1.4441200710884317,M,17.578014240000353,1215.483,1.2,1458.5795999999998,7,0
14861,32,76.05967970095371,1.632344332070629,F,28.545058739603903,1512.271,1.3,1965.9523,9,26
179,5,17.256058114276712,0.9601944608024046,F,18.716438095117063,960.391,1.5,1440.5865,8,14
4183,11,39.57010721957211,1.5389156177895809,M,16.70850576152758,1302.768,1.9,2475.2592,7,7
14530,33,76.24351782540387,1.631858240822052,F,28.63110226426077,1509.254,1.2,1811.1048,9,25
5943,13,40.97034561672111,1.5447563106281048,F,17.1691846528267,1249.824,1.9,2374.6656,7,6
2002,7,19.95640629737019,1.2506581618449313,F,12.758660871146915,1026.293,1.9,1949.9567,7,4
20814,44,91.12214236322536,1.6318288566128196,M,34.219582323652546,1831.088,1.2,2197.3056,9,28
15800,31,75.13942231990092,1.6315334847901597,M,28.22772442233777,1700.377,1.2,2040.4524,9,26
3023,7,27.83307228364015,1.227136996717444,F,18.48310999059026,1097.911,1.7,1866.4487,7,4
5282,11,33.912854574255,1.5143179413935033,M,14.78870724770494,1212.965,1.2,1455.5579999999998,7,0
1897,4,15.74493099185874,0.8608169889878919,M,21.24805110940419,684.914,1.7,1164.3538,8,13
20478,43,89.76385730528612,1.6317731709927306,M,33.71179908696563,1819.251,1.3,2365.0263,9,29
1092,4,15.83465015091106,1.0680224288535145,F,13.881862113409666,969.776,1.9,1842.5744,7,3
5175,12,42.40643557310334,1.5076578358341914,M,18.6563289806501,1319.197,1.7,2242.6349,8,18
12805,27,67.74925722895647,1.6308617310143323,F,25.472422780506754,1455.739,1.9,2765.9041,9,31
23055,84,98.4058777541108,1.6308787413502432,M,36.99795297799209,1658.4,1.7,2819.28,9,31
3457,7,26.142746653046487,1.1722385397361712,M,19.024761586988145,962.675,1.2,1155.2099999999998,8,13
9373,20,56.85892180387506,1.6318672233980769,M,21.3515290143426,1524.901,1.9,2897.3119,8,22
14796,32,78.43951345606361,1.6325245718704178,F,29.43170607231728,1535.149,1.2,1842.1788,9,25
5281,12,44.50719404171267,1.4545619905945015,F,21.03612513126369,1273.145,1.7,2164.3465,8,18
7661,16,52.94899991785244,1.6025396285800495,M,20.617699524572323,1483.871,1.2,1780.6452000000002,8,16
18257,39,87.11161301838317,1.6325991341531727,M,32.68262507163099,1810.529,1.3,2353.6877,9,29
12539,28,68.09365641282683,1.6312530905311111,F,25.58962726527615,1454.412,1.5,2181.618,9,28
14003,32,74.20676280376976,1.632181577341551,F,27.85521681016717,1494.456,1.7,2540.5752,9,30
20944,43,91.38845788842276,1.6307872114815118,M,34.363449639985724,1841.015,1.5,2761.5225,9,31
7774,17,53.52413528397083,1.6168204409398297,F,20.47510216045189,1363.791,1.5,2045.6865,8,17
7741,17,53.33014732764328,1.599796737951658,F,20.83738277495038,1359.035,1.5,2038.5525,8,17
20475,44,89.1619295475997,1.6330654941875051,M,33.43276175143504,1804.851,1.2,2165.8212,9,28
10568,25,60.93537308229008,1.6321668126580688,F,22.87390897563632,1399.948,1.3,1819.9324,8,16
9516,19,57.482613893292815,1.6328460881553093,M,21.559863565031076,1540.735,1.3,2002.9555,8,17
